valid_time,latitude,longitude,tp_m,tp_mm,swvl2,swvl4,swvl1,swvl3,sp_pa,sp_hpa,d2m,t2m,strd_jm2,strd_wm2,ssrd_jm2,ssrd_wm2,skt,u10,v10,t2m_c,d2m_c,skt_c,wind_speed,rh,data,t2m_c_mean,t2m_c_min,t2m_c_max,rh_mean,rh_min,rh_max,ssrd_mjm2_dia,tp_mm_dia,wind_speed_mean,sp_hpa_mean,swvl1_mean
2000-01-01 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.2852173,0.34519958,0.37197876,0.2984314,100156.89,1001.5689,295.90405,298.0471,1.399884e+06,388.85666,0.0,0.0,297.17914,-1.6201935,-1.0895729,24.897095,22.754059,24.029144,1.9524846,87.91464,2000-01-01,26.273653030395508,23.264373779296875,29.859375,81.85844421386719,65.57411193847656,95.58577728271484,21.59522819519043,2.377078056335449,2.7892134189605713,1000.3943481445312,0.37325605750083923
2000-01-02 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.28675842,0.34513855,0.35943604,0.29832458,100042.66,1000.4266,296.18686,298.31427,1.4263e+06,396.19446,0.0,0.0,297.72968,-2.0508728,-1.4435883,25.164276,23.036865,24.579681,2.5079925,88.02095,2000-01-02,26.358652114868164,23.194305419921875,30.10833740234375,80.4592056274414,61.0435791015625,95.37207794189453,22.041484832763672,2.7016143798828125,2.7552340030670166,1000.0563354492188,0.36137834191322327
2000-01-03 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.28761292,0.3450775,0.35250854,0.29821777,100093.94,1000.9394,296.31396,298.52112,1.461628e+06,406.00778,0.0,0.0,298.00104,-1.8963165,-1.270546,25.371124,23.16397,24.851044,2.282609,87.61575,2000-01-03,26.68577003479004,23.726287841796875,31.053863525390625,80.1997299194336,58.275020599365234,94.10832977294922,21.154560089111328,1.8334925174713135,2.565922498703003,999.708740234375,0.3466358184814453
2000-01-04 00:00:00,-4.199999999999166,-38.499999999995396,0.0003583132,0.3583132,0.2879486,0.34501648,0.3434143,0.2980957,100085.234,1000.85236,295.70728,297.97852,1.487192e+06,413.1089,0.0,0.0,297.89175,-1.8121052,-0.73797226,24.828522,22.557281,24.74176,1.9566114,87.2277,2000-01-04,25.835182189941406,22.860626220703125,30.315673828125,82.64351654052734,61.39714050292969,96.00943756103516,17.914899826049805,4.914844036102295,2.0543529987335205,1000.6889038085938,0.3734804689884186
2000-01-05 00:00:00,-4.199999999999166,-38.499999999995396,0.000545606,0.545606,0.28952026,0.3449707,0.372818,0.29800415,100205.22,1002.0522,295.7849,298.47424,1.517332e+06,421.4811,0.0,0.0,298.0578,-1.1623745,0.05411625,25.32425,22.634918,24.907806,1.1636336,85.09101,2000-01-05,25.503061294555664,22.848876953125,29.23907470703125,84.0850601196289,65.83324432373047,96.92652130126953,17.072263717651367,6.9927592277526855,2.1383473873138428,1001.4351196289062,0.41140174865722656
2000-01-06 00:00:00,-4.199999999999166,-38.499999999995396,0.0004916489,0.4916489,0.2955017,0.3449402,0.41314697,0.29794312,100291.164,1002.9116,295.39542,297.38876,1.456768e+06,404.65778,0.0,0.0,297.1526,-2.118332,-0.2966938,24.23877,22.245422,24.002594,2.1390085,88.66156,2000-01-06,24.864797592163086,23.172027587890625,27.352264404296875,86.54400634765625,72.69972229003906,95.01463317871094,13.465999603271484,6.52359676361084,1.9250625371932983,1002.1127319335938,0.43020758032798767
2000-01-07 00:00:00,-4.199999999999166,-38.499999999995396,3.284216e-05,0.03284216,0.30625916,0.34490967,0.43614197,0.2979126,100244.27,1002.44275,295.95135,297.70108,1.505968e+06,418.32443,0.0,0.0,297.26477,-1.1082458,-0.6458416,24.551086,22.801361,24.114777,1.2827004,90.00687,2000-01-07,25.5487003326416,22.77886962890625,29.40765380859375,83.16362762451172,65.44754028320312,96.56134796142578,18.958059310913086,2.225315570831299,2.5407114028930664,1001.366455078125,0.4229176938533783
2000-01-08 00:00:00,-4.199999999999166,-38.499999999995396,0.00027641654,0.27641654,0.313385,0.3448639,0.4075775,0.2978363,100155.85,1001.55853,295.52335,297.7434,1.465616e+06,407.11557,0.0,0.0,297.3688,-2.183838,-0.94433594,24.593414,22.373352,24.218811,2.3792684,87.477936,2000-01-08,25.70163917541504,23.084869384765625,30.034759521484375,84.08452606201172,66.88658142089844,97.39796447753906,20.703643798828125,7.507751941680908,2.236539602279663,1001.1630859375,0.4250100553035736
2000-01-09 00:00:00,-4.199999999999166,-38.499999999995396,0.00020701159,0.20701158,0.32073975,0.34481812,0.44441223,0.29777527,100255.516,1002.5552,296.03128,297.53488,1.48984e+06,413.84445,0.0,0.0,297.14154,-1.6244965,-0.32333374,24.384888,22.881287,23.991547,1.6563615,91.34707,2000-01-09,25.240386962890625,23.194122314453125,28.2725830078125,86.37574005126953,70.73501586914062,95.96859741210938,13.40908432006836,14.900257110595703,1.8350473642349243,1002.2013549804688,0.4633159637451172
2000-01-10 00:00:00,-4.199999999999166,-38.499999999995396,8.404255e-06,0.008404255,0.3715973,0.34480286,0.4610443,0.2978058,100339.14,1003.3914,295.93948,297.6183,1.46618e+06,407.27222,0.0,0.0,297.05963,-1.0042572,-0.3776741,24.468292,22.78949,23.909637,1.072926,90.38852,2000-01-10,25.885543823242188,22.367889404296875,30.4671630859375,80.55261993408203,56.90351104736328,96.39168548583984,22.548179626464844,2.1888315677642822,2.4498136043548584,1001.7426147460938,0.44418206810951233
2000-01-11 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.37986755,0.34474182,0.41419983,0.29786682,100216.625,1002.16626,296.64685,298.22406,1.432572e+06,397.93668,0.0,0.0,297.61243,-1.683197,-1.0326233,25.074066,23.496857,24.462433,1.9747058,90.986244,2000-01-11,26.304758071899414,23.11907958984375,31.406951904296875,78.32367706298828,49.12285614013672,95.44188690185547,22.425683975219727,2.2798032760620117,2.427882194519043,1001.2756958007812,0.4160003662109375
2000-01-12 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.37916565,0.34469604,0.39259338,0.29792786,100147.67,1001.47675,296.35455,297.62564,1.40924e+06,391.45557,0.0,0.0,297.11066,-1.1096954,-1.411377,24.475647,23.20456,23.960663,1.7953854,92.64571,2000-01-12,25.532846450805664,22.958465576171875,29.33428955078125,84.91739654541016,64.15559387207031,95.50357818603516,18.89472007751465,4.3091654777526855,2.14363694190979,1001.5935668945312,0.41614341735839844
2000-01-13 00:00:00,-4.199999999999166,-38.499999999995396,7.7039e-06,0.0077039003,0.37921143,0.34465027,0.40769958,0.29800415,100245.234,1002.45233,296.11816,297.98206,1.443928e+06,401.09113,0.0,0.0,297.3955,-1.2233887,-1.3555603,24.832062,22.96817,24.245514,1.8259857,89.40785,2000-01-13,25.7388973236084,22.9840087890625,29.724090576171875,83.79228973388672,66.39868927001953,95.54362487792969,19.6422119140625,1.621738076210022,2.202739953994751,1002.0575561523438,0.4045982360839844
